*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2016 302    29    20    422  3.5799  0.0368  2.3371  0.7649  0.2977 0.00000  3.693  6.216 26.436 23.278  0.0000  0.0000  0.0000
 2016 303    30    21    441  3.6478  0.0377  2.3859  0.7749  0.3090 0.00000  3.687  6.152 26.696 23.300  0.0000  0.0000  0.0000
 2016 304    31    22    464  4.2078  0.0379  2.7261  0.9061  0.3496 0.00000  3.683  6.099 27.520 23.647  0.0000  0.0000  0.0000
 2016 305    32    23    493  5.1942  0.0393  3.3908  1.1356  0.3692 0.00000  3.686  6.064 26.678 22.568  0.0000  0.0000  0.0000
 2016 306    33    24    521  5.0507  0.0400  3.3440  1.0901  0.3449 0.00142  3.692  6.035 26.121 21.399  0.0000  0.0000  0.0000
 2016 307    34    25    544  4.4671  0.0434  2.9343  0.9407  0.3733 0.00252  3.691  5.994 27.064 22.961  0.0000  0.0000  0.0000
 2016 308    35    26    572  5.1844  0.0462  3.3903  1.1140  0.3973 0.00441  3.692  5.968 26.230 22.609  0.0000  0.0000  0.0000
 2016 309    36    27    602  5.5621  0.0457  3.6617  1.1969  0.3985 0.00643  3.701  5.959 26.336 21.694  0.0000  0.0000  0.0000
 2016 310    37    28    638  6.4931  0.0507  4.2514  1.4148  0.4468 0.00940  3.711  5.963 25.618 22.003  0.0000  0.0000  0.0000
 2016 311    38    29    674  6.5632  0.0522  4.3224  1.4190  0.4519 0.01155  3.724  5.972 25.736 21.647  0.0000  0.0000  0.0000
 2016 312    39    30    705  5.8625  0.0551  3.9297  1.2444  0.3962 0.01240  3.735  5.968 24.268 20.420  0.0000  0.0000  0.0000
 2016 313    40    31    745  7.2949  0.0569  4.7778  1.5934  0.4832 0.01726  3.751  5.993 25.364 21.178  0.0000  0.0000  0.0000
 2016 314    41    32    781  6.7310  0.0597  4.4631  1.4336  0.4773 0.01812  3.765  6.006 25.478 21.159  0.0000  0.0000  0.0000
 2016 315    42    33    828  8.4342  0.0609  5.5640  1.8583  0.4866 0.02519  3.788  6.055 24.171 19.686  0.0000  0.0000  0.0000
 2016 316    43    34    875  8.5101  0.0623  5.6579  1.8680  0.4690 0.02807  3.812  6.106 23.645 18.790  0.0000  0.0000  0.0000
 2016 317    44    35    924  8.7171  0.0657  5.7696  1.9080  0.5104 0.03101  3.834  6.155 24.597 19.169  0.0000  0.0000  0.0000
 2016 318    45    36    970  8.5228  0.0684  5.6442  1.8511  0.5236 0.03221  3.854  6.196 25.028 19.163  0.0000  0.0000  0.0000
